[CLS] arpt: 620749.901374: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] arpt: 621145.554555: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] vdcassistant:  found a camera    but was not able to start it up  successful)
[CLS] arpt: 645791.413780: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 156 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 661552.832561: iopmpowersource information: onwake   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] device_generate_lock_screen_screenshot: authw 0x7fa823962400 0  0  1440  900  shield 0x7fa82d372000  dev  1440 900 
[CLS] arpt: 671856.784669: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 18011 
[CLS] arpt: 673399.580233: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 13027 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 681387.132167: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 682468.243050: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 682638.445688: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 698898.741521: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 699408.252331: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS]  accounts  current connection  <nsxpcconnection: 0x7fda74805bf0> connection from pid 487  doesn't have account access.
[CLS]  accounts  failed to update account with identifier 76fe6715-3d27-4f21-aa35-c88c1ea820e8  error: error domain=abaddressbookerrordomain code=1002 ""
[CLS] arpt: 711599.232230: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 711749.913729: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] arpt: 711752.511718: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 712918.575461: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] arpt: 712997.981881: iopmpowersource information: onwake   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] arpt: 713439.104255: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] device_generate_lock_screen_screenshot: authw 0x7fa824145a00 0  0  1440  900  shield 0x7fa825dafc00  dev  1440 900 
[CLS] cocoa scripting error for '0x00660011': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0067000f': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00670033': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x03600009': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0360001f': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x03f20026': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x009a0005': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00990013': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00690003': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x006a0061': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x006a00a6': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x006a00a7': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x006a00b2': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x006d0002': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00b20001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x03ef000d': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00b8fffe': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00bb0001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00bc0007': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00c1000a': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00c40027': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00c5000c': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00e80002': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x03eb0001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x006f0001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x00730020': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x007c000c': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x007c0018': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x007d000e': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x008b036a': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x008b6fb5': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x008b0360': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x008bdeaa': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x008bdeb0': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x01f60001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x01f90004': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02080000': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02100004': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02120000': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02120002': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x023b0003': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x023d0001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02410003': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02420002': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02420006': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02470032': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02470045': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0247ffe9': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0249002a': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x024a00b2': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x025c0009': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0261fffd': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02640011': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0268000a': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02720002': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02740004': four character codes must be four characters long.
