[CLS] mdns_deregisterinterface: frequent transitions for interface awdl0 
[CLS] arpt: 621241.634070: wl0: mdns: ipv6 addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f
[CLS] mdns_deregisterinterface: frequent transitions for interface awdl0 
[CLS] arpt: 621389.379319: wl0: mdns: ipv6 addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f
[CLS] applethunderboltgenerichal::earlywake - complete - took 0 milliseconds
[CLS] mdns_deregisterinterface: frequent transitions for interface en0 
[CLS] mdns_registerinterface: frequent transitions for interface en0 
[CLS] arpt: 626126.086246: wl0: mdns: ipv4 addr: 10.105.160.95
[CLS] setting btcoex config: enable_2g:1  profile_2g:0  enable_5g:1  profile_5g:0
[CLS]  hid   atc  appledevicemanagementhideventservice::processwakereason wake reason: host 
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 1
[CLS] applethunderboltgenerichal::earlywake - complete - took 0 milliseconds
[CLS] setting btcoex config: enable_2g:1  profile_2g:0  enable_5g:1  profile_5g:0
[CLS] rtc: maintenance 2017/7/1 19:52:56  sleep 2017/7/1 19:40:18
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 1
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 1
[CLS] arpt: 627141.702095: wl0: mdns: ipv6 addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 2
[CLS] en0: 802.11d country code set to 'x3'.
[CLS] rtc: maintenance 2017/7/1 21:52:00  sleep 2017/7/1 21:39:51
[CLS] network changed: v4 v6 dns! proxy smb
[CLS] 12:15:23.005 : discoverable mode changed to off
[CLS] arpt: 645957.322055: wl0: setup_keepalive: local ip: 10.105.163.202
[CLS] mdns_registerinterface: frequent transitions for interface awdl0 
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 2
[CLS] arpt: 661708.530713: wl0: mdns: ipv6 addr: fe80:0:0:0:c6b3:1ff:fecd:467f
[CLS] network changed: v4 v6 dns! proxy smb
[CLS] setting btcoex config: enable_2g:1  profile_2g:0  enable_5g:1  profile_5g:0
[CLS] in6_unlink_ifa: ipv6 address 0x77c9114551ab23ab has no prefix
[CLS] network changed: v4 v6 dns! proxy smb
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 3
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 3
[CLS] arpt: 661915.168735: wl0: mdns: ipv6 addr: 2607:f140:6000:8:4de9:a101:c96c:f28b
[CLS] arpt: 662096.028575: wl0: mdns: ipv6 addr: 2607:f140:6000:8:4de9:a101:c96c:f28b
[CLS] dnssd_clientstub connecttoserver: connect-> no of tries: 1
[CLS] arpt: 671682.028482: wl0: mdns: ipv6 addr: fe80:0:0:0:c6b3:1ff:fecd:467f
[CLS] applethunderboltgenerichal::earlywake - complete - took 1 milliseconds
[CLS] in6_unlink_ifa: ipv6 address 0x77c9114551ab225b has no prefix
