LineId,Date,Time,Pid,Tid,Level,Component,Content,template,template_num
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","['printfreezingdisplaylogsopening', 'app', 'wtoken', '=', 'appwindowtoken{9f4ef63', 'token=token{a64f992', 'activityrecord{de9231d', 'u0', 'com.tencent.qt.qtl/.activity.info.newsdetailxmlactivity', 't761}}}', 'alldrawn=', 'false', 'startingdisplayed', '=', 'false', 'startingmoved', '=', 'false', 'isrelaunching', '=', 'false']",E0
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","['acquire', 'lock=233570404', 'flags=0x1', 'tag=""view', 'lock""', 'name=com.android.systemui', 'ws=null', 'uid=10037', 'pid=2227']",E3
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","['ready=true', 'policy=3', 'wakefulness=1', ' <*>', 'uasummary=0x1', 'bootcompleted=true', 'boostinprogress=false', 'waitmodeenable=false', 'mode=false', 'manual=38', 'auto=-1', 'adj=0.0userid=0']",E10
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,"['skipping', ' <*>', ' <*>', ' <*>', 'u0', ' <*>', 't761}}}', '--', 'going', 'to', 'hide']",E14
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,"['visible', 'is', ' <*>']",E20
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,"['mvisiblity.getvalue', 'is', 'false']",E21
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,"['visible', 'is', ' <*>']",E20
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,"['mvisiblity.getvalue', 'is', 'false']",E21
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,"['visible', 'is', 'system.call.count', 'gt', '0']",E45
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,"['mvisiblity.getvalue', 'is', 'false']",E21
