LineId,Time,Level,Content,template,template_num
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
20,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
22,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,"['workerenv.init()', 'ok', '/etc/httpd/conf/workers2.properties']",E0
25,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,"['mod_jk', 'child', 'workerenv', 'in', 'error', 'state', ' <*>']",E1
28,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,"['jk2_init()', 'found', 'child', ' <*>', 'in', 'scoreboard', 'slot', ' <*>']",E3
