['0', 'component', 'state', 'change:', 'component', '\\042scsi-wwid:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '1973)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['1', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '3180)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['2', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '5089)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['3', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '4088)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['4', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '2538)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['5', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '2480)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['6', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '3713)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['7', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '3891)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['8', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '2478)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['9', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '2969)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['10', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '4159)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['11', 'component', 'state', 'change:', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', '2608)', ['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>'], 'E0']
['12', 'clusteraddmember', '(command', '1902)', ['clusteraddmember', '(command', ' <*>'], 'E1']
['13', 'clusteraddmember', '(command', '1900)', ['clusteraddmember', '(command', ' <*>'], 'E1']
['14', 'risboot', '(command', '1903)', ['risboot', '(command', '1903)'], 'E2']
['15', 'bootgenvmunix', '(command', '1903)', ['bootgenvmunix', '(command', ' <*>'], 'E3']
['149', 'bootgenvmunix', '(command', '4185)', ['bootgenvmunix', '(command', ' <*>'], 'E3']
['16', 'boot', '(command', '1911)', ['boot', '(command', ' <*>'], 'E4']
['17', 'boot', '(command', '1910)', ['boot', '(command', ' <*>'], 'E4']
['18', 'boot', '(command', '1978)', ['boot', '(command', ' <*>'], 'E4']
['19', 'boot', '(command', '1967)', ['boot', '(command', ' <*>'], 'E4']
['21', 'boot', '(command', '1999)', ['boot', '(command', ' <*>'], 'E4']
['23', 'boot', '(command', '1981)', ['boot', '(command', ' <*>'], 'E4']
['24', 'boot', '(command', '1973)', ['boot', '(command', ' <*>'], 'E4']
['27', 'boot', '(command', '2152)', ['boot', '(command', ' <*>'], 'E4']
['29', 'boot', '(command', '2141)', ['boot', '(command', ' <*>'], 'E4']
['30', 'boot', '(command', '2110)', ['boot', '(command', ' <*>'], 'E4']
['31', 'boot', '(command', '2160)', ['boot', '(command', ' <*>'], 'E4']
['37', 'boot', '(command', '2183)', ['boot', '(command', ' <*>'], 'E4']
['42', 'boot', '(command', '2257)', ['boot', '(command', ' <*>'], 'E4']
['43', 'boot', '(command', '2316)', ['boot', '(command', ' <*>'], 'E4']
['44', 'boot', '(command', '2316)', ['boot', '(command', ' <*>'], 'E4']
['48', 'boot', '(command', '2368)', ['boot', '(command', ' <*>'], 'E4']
['49', 'boot', '(command', '2392)', ['boot', '(command', ' <*>'], 'E4']
['50', 'boot', '(command', '2406)', ['boot', '(command', ' <*>'], 'E4']
['51', 'boot', '(command', '2417)', ['boot', '(command', ' <*>'], 'E4']
['52', 'boot', '(command', '2423)', ['boot', '(command', ' <*>'], 'E4']
['55', 'boot', '(command', '2464)', ['boot', '(command', ' <*>'], 'E4']
['57', 'boot', '(command', '2520)', ['boot', '(command', ' <*>'], 'E4']
['59', 'boot', '(command', '2517)', ['boot', '(command', ' <*>'], 'E4']
['62', 'boot', '(command', '2514)', ['boot', '(command', ' <*>'], 'E4']
['64', 'boot', '(command', '2625)', ['boot', '(command', ' <*>'], 'E4']
['66', 'boot', '(command', '2616)', ['boot', '(command', ' <*>'], 'E4']
['67', 'boot', '(command', '2619)', ['boot', '(command', ' <*>'], 'E4']
['68', 'boot', '(command', '2616)', ['boot', '(command', ' <*>'], 'E4']
['69', 'boot', '(command', '2616)', ['boot', '(command', ' <*>'], 'E4']
['70', 'boot', '(command', '2602)', ['boot', '(command', ' <*>'], 'E4']
['72', 'boot', '(command', '2584)', ['boot', '(command', ' <*>'], 'E4']
['74', 'boot', '(command', '2550)', ['boot', '(command', ' <*>'], 'E4']
['75', 'boot', '(command', '2548)', ['boot', '(command', ' <*>'], 'E4']
['76', 'boot', '(command', '2538)', ['boot', '(command', ' <*>'], 'E4']
['78', 'boot', '(command', '2686)', ['boot', '(command', ' <*>'], 'E4']
['82', 'boot', '(command', '2790)', ['boot', '(command', ' <*>'], 'E4']
['89', 'boot', '(command', '2960)', ['boot', '(command', ' <*>'], 'E4']
