LineId,LogId,Node,Component,State,Time,Flag,Content,template,template_num
1,134681,node-246,unix.hw,state_change.unavailable,1077804742,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
2,350766,node-109,unix.hw,state_change.unavailable,1084680778,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
3,344518,node-246,unix.hw,state_change.unavailable,1084270955,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
4,344448,node-153,unix.hw,state_change.unavailable,1084270952,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
5,366633,node-200,unix.hw,state_change.unavailable,1085100843,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
6,366463,node-122,unix.hw,state_change.unavailable,1085084674,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
7,438190,node-228,unix.hw,state_change.unavailable,1097194780,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
8,225111,node-10,unix.hw,state_change.unavailable,1117296789,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
9,360778,node-130,unix.hw,state_change.unavailable,1141108031,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
10,401569,node-169,unix.hw,state_change.unavailable,1142550406,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),"['component', 'state', 'change:', 'component', ' <*>', 'is', 'in', 'the', 'unavailable', 'state', '(hwid', ' <*>']",E0
