['0', 'created', 'mrappmaster', 'for', 'application', 'appattempt_1445144423722_0020_000001', ['created', 'mrappmaster', 'for', 'application', 'appattempt_1445144423722_0020_000001'], 'E0']
['4', 'outputcommitter', 'set', 'in', 'config', 'null', ['outputcommitter', 'set', 'in', 'config', 'null'], 'E1']
['34', 'logging', 'to', 'org.slf4j.impl.log4jloggeradapter(org.mortbay.log)', 'via', 'org.mortbay.log.slf4jlog', ['logging', 'to', 'org.slf4j.impl.log4jloggeradapter(org.mortbay.log)', 'via', 'org.mortbay.log.slf4jlog'], 'E2']
['41', 'jetty', 'bound', 'to', 'port', '62267', ['jetty', 'bound', 'to', 'port', '62267'], 'E3']
['55', 'connecting', 'to', 'resourcemanager', 'at', 'msra-sa-41/10.190.173.170:8030', ['connecting', 'to', 'resourcemanager', 'at', 'msra-sa-41/10.190.173.170:8030'], 'E4']
['61', 'processing', 'the', 'event', 'eventtype:', 'job_setup', ['processing', 'the', 'event', 'eventtype:', 'job_setup'], 'E5']
['1031', 'processing', 'the', 'event', 'eventtype:', 'task_abort', ['processing', 'the', 'event', 'eventtype:', 'task_abort'], 'E6']
['1060', 'processing', 'the', 'event', 'eventtype:', 'task_abort', ['processing', 'the', 'event', 'eventtype:', 'task_abort'], 'E6']
['110', 'recalculating', 'schedule', 'headroom', '<memory:10240', 'vcores:-17>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['112', 'recalculating', 'schedule', 'headroom', '<memory:10240', 'vcores:-17>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['117', 'recalculating', 'schedule', 'headroom', '<memory:8192', 'vcores:-19>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['136', 'recalculating', 'schedule', 'headroom', '<memory:7168', 'vcores:-20>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['141', 'recalculating', 'schedule', 'headroom', '<memory:5120', 'vcores:-22>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['155', 'recalculating', 'schedule', 'headroom', '<memory:4096', 'vcores:-23>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['160', 'recalculating', 'schedule', 'headroom', '<memory:3072', 'vcores:-24>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['174', 'recalculating', 'schedule', 'headroom', '<memory:1024', 'vcores:-26>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['179', 'recalculating', 'schedule', 'headroom', '<memory:1024', 'vcores:-26>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
