LineId,Time,Component,Pid,Content,template,template_num
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,"['onstandstepchanged', ' <*>']",E0
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,"['onextend', ' <*>', ' <*>', '0', ' <*>']",E12
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,"['onreceive', 'action', 'android.intent.action.screen_on']",E21
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,"['processhandlebroadcastaction', 'action', 'android.intent.action.screen_on']",E22
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,"['flush', 'sensor', 'data']",E24
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,"['gettodaytotaldetailsteps', ' <*>']",E1
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,"['settodaytotaldetailsteps', ' <*>']",E2
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,"['onstandstepchanged', ' <*>']",E0
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,"['calculatecalorieswithcache', 'totalcalories', ' <*>']",E25
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,"['calculatealtitudewithcache', 'totalaltitude', ' <*>']",E26
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,"['report', ' <*>', ' <*>', ' <*>', ' <*>']",E13
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,"['onextend', ' <*>', ' <*>', '0', ' <*>']",E12
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,"['onstandstepchanged', ' <*>']",E0
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,"['onstandstepchanged', ' <*>']",E0
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,"['onextend', ' <*>', ' <*>', '0', ' <*>']",E12
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,"['gettodaytotaldetailsteps', ' <*>']",E1
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,"['settodaytotaldetailsteps', ' <*>']",E2
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,"['calculatecalorieswithcache', 'totalcalories', ' <*>']",E25
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,"['calculatealtitudewithcache', 'totalaltitude', ' <*>']",E26
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,"['report', ' <*>', ' <*>', ' <*>', ' <*>']",E13
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,"['onstandstepchanged', ' <*>']",E0
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,"['onextend', ' <*>', ' <*>', '0', ' <*>']",E12
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,"['gettodaytotaldetailsteps', ' <*>']",E1
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,"['settodaytotaldetailsteps', ' <*>']",E2
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,"['calculatecalorieswithcache', 'totalcalories', ' <*>']",E25
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,"['calculatealtitudewithcache', 'totalaltitude', ' <*>']",E26
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,"['report', ' <*>', ' <*>', ' <*>', ' <*>']",E13
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,"['onstandstepchanged', ' <*>']",E0
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,"['onextend', ' <*>', ' <*>', '0', ' <*>']",E12
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,"['gettodaytotaldetailsteps', ' <*>']",E1
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,"['settodaytotaldetailsteps', ' <*>']",E2
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,"['calculatecalorieswithcache', 'totalcalories', ' <*>']",E25
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,"['calculatealtitudewithcache', 'totalaltitude', ' <*>']",E26
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,"['report', ' <*>', ' <*>', ' <*>', ' <*>']",E13
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,"['onstandstepchanged', ' <*>']",E0
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,"['onextend', ' <*>', ' <*>', '0', ' <*>']",E12
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,"['gettodaytotaldetailsteps', ' <*>']",E1
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,"['settodaytotaldetailsteps', ' <*>']",E2
