LineId,Month,Date,Time,Level,Component,PID,Content,template,template_num
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
