['0', 'registered', 'signal', 'handlers', 'for', '[term', 'hup', 'int]', ['registered', 'signal', 'handlers', 'for', '[term', 'hup', 'int]'], 'E0']
['10', 'successfully', 'started', 'service', "'sparkexecutoractorsystem'", 'on', 'port', '55904.', ['successfully', 'started', 'service', "'sparkexecutoractorsystem'", 'on', 'port', '55904.'], 'E1']
['16', 'successfully', 'started', 'service', "'org.apache.spark.network.netty.nettyblocktransferservice'", 'on', 'port', '40984.', ['successfully', 'started', 'service', "'org.apache.spark.network.netty.nettyblocktransferservice'", 'on', 'port', '40984.'], 'E2']
['15', 'starting', 'executor', 'id', '5', 'on', 'host', 'mesos-slave-07', ['starting', 'executor', 'id', '5', 'on', 'host', 'mesos-slave-07'], 'E3']
['32', 'reading', 'broadcast', 'variable', '9', 'took', '160', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['46', 'reading', 'broadcast', 'variable', '8', 'took', '19', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['55', 'reading', 'broadcast', 'variable', '0', 'took', '21', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['59', 'reading', 'broadcast', 'variable', '4', 'took', '18', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['63', 'reading', 'broadcast', 'variable', '3', 'took', '17', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['67', 'reading', 'broadcast', 'variable', '1', 'took', '16', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['71', 'reading', 'broadcast', 'variable', '2', 'took', '16', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['105', 'reading', 'broadcast', 'variable', '10', 'took', '17', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['134', 'reading', 'broadcast', 'variable', '11', 'took', '15', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['163', 'reading', 'broadcast', 'variable', '12', 'took', '30', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['207', 'reading', 'broadcast', 'variable', '13', 'took', '41', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['236', 'reading', 'broadcast', 'variable', '14', 'took', '12', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['265', 'reading', 'broadcast', 'variable', '15', 'took', '15', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['294', 'reading', 'broadcast', 'variable', '16', 'took', '13', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['338', 'reading', 'broadcast', 'variable', '17', 'took', '12', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['367', 'reading', 'broadcast', 'variable', '18', 'took', '12', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['396', 'reading', 'broadcast', 'variable', '19', 'took', '12', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['425', 'reading', 'broadcast', 'variable', '20', 'took', '15', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['469', 'reading', 'broadcast', 'variable', '21', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['498', 'reading', 'broadcast', 'variable', '22', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['527', 'reading', 'broadcast', 'variable', '23', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['556', 'reading', 'broadcast', 'variable', '24', 'took', '10', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['600', 'reading', 'broadcast', 'variable', '25', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['629', 'reading', 'broadcast', 'variable', '26', 'took', '10', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['658', 'reading', 'broadcast', 'variable', '27', 'took', '10', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['687', 'reading', 'broadcast', 'variable', '28', 'took', '9', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['731', 'reading', 'broadcast', 'variable', '29', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['760', 'reading', 'broadcast', 'variable', '30', 'took', '8', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['789', 'reading', 'broadcast', 'variable', '31', 'took', '8', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['833', 'reading', 'broadcast', 'variable', '32', 'took', '16', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['862', 'reading', 'broadcast', 'variable', '33', 'took', '9', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['1066', 'reading', 'broadcast', 'variable', '34', 'took', '9', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['1110', 'reading', 'broadcast', 'variable', '37', 'took', '14', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['1124', 'reading', 'broadcast', 'variable', '36', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['1438', 'reading', 'broadcast', 'variable', '38', 'took', '11', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['1642', 'reading', 'broadcast', 'variable', '39', 'took', '716', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['1846', 'reading', 'broadcast', 'variable', '40', 'took', '10', 'ms', ['reading', 'broadcast', 'variable', ' <*>', 'took', ' <*>', 'ms'], 'E4']
['869', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['870', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['871', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['872', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['873', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['909', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['910', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['911', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['912', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['913', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['949', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['950', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['951', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['952', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['953', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['989', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['994', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['995', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['996', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['997', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1030', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1036', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1037', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1046', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1047', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1073', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1074', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1075', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1077', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['1078', 'file', 'output', 'committer', 'algorithm', 'version', 'is', '1', ['file', 'output', 'committer', 'algorithm', 'version', 'is', '1'], 'E5']
['879', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000003_1012'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000003', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['880', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000004_1026'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000004', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['881', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000002_998'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000002', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['882', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000000_970'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000000', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['883', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000001_984'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000001', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['919', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000044_1129'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000044', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
