LineId,Date,Time,Level,Component,Content,template,template_num
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]","['registered', 'signal', 'handlers', 'for', '[term', 'hup', 'int]']",E0
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","['changing', 'view', 'acls', 'to:', 'yarn', 'curi']",E7
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","['changing', 'modify', 'acls', 'to:', 'yarn', 'curi']",E8
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","['securitymanager:', 'authentication', 'disabled;', 'ui', 'acls', 'disabled;', 'users', 'with', 'view', 'permissions:', 'set(yarn', 'curi);', 'users', 'with', 'modify', 'permissions:', 'set(yarn', 'curi)']",E17
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","['changing', 'view', 'acls', 'to:', 'yarn', 'curi']",E7
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","['changing', 'modify', 'acls', 'to:', 'yarn', 'curi']",E8
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","['securitymanager:', 'authentication', 'disabled;', 'ui', 'acls', 'disabled;', 'users', 'with', 'view', 'permissions:', 'set(yarn', 'curi);', 'users', 'with', 'modify', 'permissions:', 'set(yarn', 'curi)']",E17
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,"['slf4jlogger', 'started']",E18
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,"['starting', 'remoting']",E19
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],"['remoting', 'started;', 'listening', 'on', 'addresses', ':[akka.tcp://sparkexecutoractorsystem@mesos-slave-07:55904]']",E9
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,"['successfully', 'started', 'service', ""'sparkexecutoractorsystem'"", 'on', 'port', '55904.']",E1
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,"['created', 'local', 'directory', 'at', '/opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4']",E22
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,"['memorystore', 'started', 'with', 'capacity', '17.7', 'gb']",E10
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,"['connecting', 'to', 'driver:', 'spark://coarsegrainedscheduler@10.10.34.11:48069']",E24
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,"['successfully', 'registered', 'with', 'driver']",E25
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,"['starting', 'executor', 'id', '5', 'on', 'host', 'mesos-slave-07']",E3
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,"['successfully', 'started', 'service', ""'org.apache.spark.network.netty.nettyblocktransferservice'"", 'on', 'port', '40984.']",E2
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,"['server', 'created', 'on', '40984']",E26
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,"['trying', 'to', 'register', 'blockmanager']",E27
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,"['registered', 'blockmanager']",E20
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,"['got', 'assigned', 'task', ' <*>']",E28
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,"['got', 'assigned', 'task', ' <*>']",E28
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,"['got', 'assigned', 'task', ' <*>']",E28
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,"['got', 'assigned', 'task', ' <*>']",E28
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),"['running', 'task', ' <*>', 'in', 'stage', ' <*>', '(tid', ' <*>']",E30
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),"['running', 'task', ' <*>', 'in', 'stage', ' <*>', '(tid', ' <*>']",E30
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),"['running', 'task', ' <*>', 'in', 'stage', ' <*>', '(tid', ' <*>']",E30
