['0', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['3', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['6', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['9', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['12', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['15', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['18', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['21', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['24', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['27', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['30', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['33', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['36', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['42', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['96', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['107', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['112', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['115', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['126', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['1568', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['1578', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['1581', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['1586', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['1591', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['45', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['46', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['47', 'synchronized', 'to', '10.100.24.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['49', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['53', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['54', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['56', 'synchronized', 'to', '10.100.26.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['58', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['59', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['61', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['67', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
