['0', 'loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll', ['loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll'], 'E0']
['954', 'loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll', ['loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll'], 'E0']
['7', 'sqm:', 'initializing', 'online', 'with', 'windows', 'opt-in:', 'false', ['sqm:', 'initializing', 'online', 'with', 'windows', 'opt-in:', 'false'], 'E1']
['961', 'sqm:', 'initializing', 'online', 'with', 'windows', 'opt-in:', 'false', ['sqm:', 'initializing', 'online', 'with', 'windows', 'opt-in:', 'false'], 'E1']
['9', 'sqm:', 'requesting', 'upload', 'of', 'all', 'unsent', 'reports.', ['sqm:', 'requesting', 'upload', 'of', 'all', 'unsent', 'reports.'], 'E2']
['963', 'sqm:', 'requesting', 'upload', 'of', 'all', 'unsent', 'reports.', ['sqm:', 'requesting', 'upload', 'of', 'all', 'unsent', 'reports.'], 'E2']
['26', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['29', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['32', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['35', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['39', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['42', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['45', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['48', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['52', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['55', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
