LineId,Date,Time,Level,Component,Content,template,template_num
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,"['loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll']",E0
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),"[' <*>', 'wcpinitialize', 'called']",E4
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),"[' <*>', 'wcpinitialize', 'called']",E4
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),"[' <*>', 'wcpinitialize', 'called']",E4
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,"['ending', 'trustedinstaller', 'initialization.']",E14
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,"['starting', 'the', 'trustedinstaller', 'main', 'loop.']",E18
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,"['trustedinstaller', 'service', 'starts', 'successfully.']",E5
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,"['sqm:', 'initializing', 'online', 'with', 'windows', 'opt-in:', 'false']",E1
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,"['sqm:', 'cleaning', 'up', 'report', 'files', 'older', 'than', '10', 'days.']",E25
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,"['sqm:', 'requesting', 'upload', 'of', 'all', 'unsent', 'reports.']",E2
11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","['sqm:', 'failed', 'to', 'start', 'upload', 'with', 'file', 'pattern:', 'c:\\windows\\servicing\\sqm\\*_std.sqm', 'flags:', '0x2', '[hresult', '0x80004005', '-', 'e_fail]']",E31
12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],"['sqm:', 'failed', 'to', 'start', 'standard', 'sample', 'upload.', '[hresult', '0x80004005', '-', 'e_fail]']",E32
13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","['sqm:', 'queued', '0', 'file', 'for', 'upload', 'with', 'pattern:', 'c:\\windows\\servicing\\sqm\\*_all.sqm', 'flags:', '0x6']",E33
14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],"['sqm:', 'warning:', 'failed', 'to', 'upload', 'all', 'unsent', 'reports.', '[hresult', '0x80004005', '-', 'e_fail]']",E35
15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","['no', 'startup', 'processing', 'required', 'trustedinstaller', 'service', 'was', 'not', 'set', 'as', 'autostart', 'or', 'else', 'a', 'reboot', 'is', 'still', 'pending.']",E36
16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,"['nonstart:', 'checking', 'to', 'ensure', 'startup', 'processing', 'was', 'not', 'required.']",E26
