LineId,Date,Time,Level,Node,Component,Id,Content,template,template_num
1,2015-07-29,"17:41:44,747",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,"['notification', 'time', 'out:', ' <*>']",E0
2,2015-07-29,"19:04:12,394",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,"['received', 'connection', 'request', '/10', '10', '34', ' <*>']",E7
3,2015-07-29,"19:04:29,071",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
4,2015-07-29,"19:04:29,079",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
5,2015-07-29,"19:13:17,524",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
6,2015-07-29,"19:13:24,282",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =","['connection', 'broken', 'for', 'id', ' <*>', 'my', 'id', '=', ' <*>', 'error', '=']",E12
7,2015-07-29,"19:13:24,370",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,"['received', 'connection', 'request', '/10', '10', '34', ' <*>']",E7
8,2015-07-29,"19:13:27,721",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =","['connection', 'broken', 'for', 'id', ' <*>', 'my', 'id', '=', ' <*>', 'error', '=']",E12
9,2015-07-29,"19:13:34,382",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
10,2015-07-29,"19:13:37,626",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
11,2015-07-29,"19:13:44,301",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
12,2015-07-29,"19:13:47,731",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =","['connection', 'broken', 'for', 'id', ' <*>', 'my', 'id', '=', ' <*>', 'error', '=']",E12
13,2015-07-29,"19:13:54,220",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45382,"['received', 'connection', 'request', '/10', '10', '34', ' <*>']",E7
14,2015-07-29,"19:13:54,399",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =","['connection', 'broken', 'for', 'id', ' <*>', 'my', 'id', '=', ' <*>', 'error', '=']",E12
15,2015-07-29,"19:14:04,406",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
16,2015-07-29,"19:14:07,559",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,"['interrupting', 'sendworker']",E16
17,2015-07-29,"19:14:07,653",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
18,2015-07-29,"19:14:24,329",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,"['interrupting', 'sendworker']",E16
19,2015-07-29,"19:14:37,585",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
20,2015-07-29,"19:14:44,256",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45440,"['received', 'connection', 'request', '/10', '10', '34', ' <*>']",E7
21,2015-07-29,"19:14:47,593",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,"['interrupting', 'sendworker']",E16
22,2015-07-29,"19:14:54,354",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
23,2015-07-29,"19:15:24,476",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
24,2015-07-29,"19:15:37,647",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,"['interrupting', 'sendworker']",E16
25,2015-07-29,"19:15:37,648",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"['send', 'worker', 'leaving', 'thread']",E1
26,2015-07-29,"19:15:54,407",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
27,2015-07-29,"19:15:57,854",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57895,"['received', 'connection', 'request', '/10', '10', '34', ' <*>']",E7
28,2015-07-29,"19:16:04,412",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"['interrupted', 'while', 'waiting', 'for', 'message', 'on', 'queue']",E8
